rule,repository,commit,file,cell,line,source,label,rationale,reviewer,reviewed_on
QXL000,AADH2002/Quantum-Computing-with-Qiskit,0c7e60c086146f3e222af4697dc5e6ab782c1ba2,notebooks/05_Deutsch_Algorithm.ipynb,10,3,The Deutsch Algorithm demonstrates that a quantum computer can determine,true-positive-unparsable,"Source neither CPython nor IPython accepts. Every .py finding was handed to CPython compile(), which rejected it; every notebook cell was checked to be sure the reported line is not an IPython magic or shell escape.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,AADH2002/Quantum-Computing-with-Qiskit,0c7e60c086146f3e222af4697dc5e6ab782c1ba2,notebooks/05_Deutsch_Algorithm.ipynb,1,10,"f(x): {0,1} → {0,1}",true-positive-unparsable,"Source neither CPython nor IPython accepts. Every .py finding was handed to CPython compile(), which rejected it; every notebook cell was checked to be sure the reported line is not an IPython magic or shell escape.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,AADH2002/Quantum-Computing-with-Qiskit,0c7e60c086146f3e222af4697dc5e6ab782c1ba2,notebooks/05_Deutsch_Algorithm.ipynb,2,11,- |0⟩ → Constant function,true-positive-unparsable,"Source neither CPython nor IPython accepts. Every .py finding was handed to CPython compile(), which rejected it; every notebook cell was checked to be sure the reported line is not an IPython magic or shell escape.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,AADH2002/Quantum-Computing-with-Qiskit,0c7e60c086146f3e222af4697dc5e6ab782c1ba2,notebooks/06_Deutsch_Jozsa_Algorithm.ipynb,2,3,1. Prepare n input qubits in |0⟩ and one auxiliary qubit in |1⟩.,true-positive-unparsable,"Source neither CPython nor IPython accepts. Every .py finding was handed to CPython compile(), which rejected it; every notebook cell was checked to be sure the reported line is not an IPython magic or shell escape.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,AADH2002/Quantum-Computing-with-Qiskit,0c7e60c086146f3e222af4697dc5e6ab782c1ba2,notebooks/06_Deutsch_Jozsa_Algorithm.ipynb,11,3,The Deutsch-Jozsa algorithm demonstrates that quantum computers can,true-positive-unparsable,"Source neither CPython nor IPython accepts. Every .py finding was handed to CPython compile(), which rejected it; every notebook cell was checked to be sure the reported line is not an IPython magic or shell escape.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,AADH2002/Quantum-Computing-with-Qiskit,0c7e60c086146f3e222af4697dc5e6ab782c1ba2,notebooks/06_Deutsch_Jozsa_Algorithm.ipynb,1,5,The Deutsch-Jozsa Algorithm is one of the earliest quantum algorithms,true-positive-unparsable,"Source neither CPython nor IPython accepts. Every .py finding was handed to CPython compile(), which rejected it; every notebook cell was checked to be sure the reported line is not an IPython magic or shell escape.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,AADH2002/Quantum-Computing-with-Qiskit,0c7e60c086146f3e222af4697dc5e6ab782c1ba2,notebooks/07_Bernstein_Vazirani_Algorithm.ipynb,2,3,1. Initialize n input qubits in |0⟩.,true-positive-unparsable,"Source neither CPython nor IPython accepts. Every .py finding was handed to CPython compile(), which rejected it; every notebook cell was checked to be sure the reported line is not an IPython magic or shell escape.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,AADH2002/Quantum-Computing-with-Qiskit,0c7e60c086146f3e222af4697dc5e6ab782c1ba2,notebooks/07_Bernstein_Vazirani_Algorithm.ipynb,10,3,The Bernstein-Vazirani algorithm demonstrates the power of quantum,true-positive-unparsable,"Source neither CPython nor IPython accepts. Every .py finding was handed to CPython compile(), which rejected it; every notebook cell was checked to be sure the reported line is not an IPython magic or shell escape.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,AADH2002/Quantum-Computing-with-Qiskit,0c7e60c086146f3e222af4697dc5e6ab782c1ba2,notebooks/07_Bernstein_Vazirani_Algorithm.ipynb,1,10,f(x) = s · x (mod 2),true-positive-unparsable,"Source neither CPython nor IPython accepts. Every .py finding was handed to CPython compile(), which rejected it; every notebook cell was checked to be sure the reported line is not an IPython magic or shell escape.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,AADH2002/Quantum-Computing-with-Qiskit,0c7e60c086146f3e222af4697dc5e6ab782c1ba2,notebooks/08_Grover_Search_Algorithm.ipynb,11,3,Grover's algorithm demonstrates quantum amplitude amplification.,true-positive-unparsable,"Source neither CPython nor IPython accepts. Every .py finding was handed to CPython compile(), which rejected it; every notebook cell was checked to be sure the reported line is not an IPython magic or shell escape.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,AADH2002/Quantum-Computing-with-Qiskit,0c7e60c086146f3e222af4697dc5e6ab782c1ba2,notebooks/08_Grover_Search_Algorithm.ipynb,1,5,Grover's algorithm is a quantum search algorithm that finds a marked,true-positive-unparsable,"Source neither CPython nor IPython accepts. Every .py finding was handed to CPython compile(), which rejected it; every notebook cell was checked to be sure the reported line is not an IPython magic or shell escape.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,AADH2002/Quantum-Computing-with-Qiskit,0c7e60c086146f3e222af4697dc5e6ab782c1ba2,notebooks/08_Grover_Search_Algorithm.ipynb,2,8,π/4 √N,true-positive-unparsable,"Source neither CPython nor IPython accepts. Every .py finding was handed to CPython compile(), which rejected it; every notebook cell was checked to be sure the reported line is not an IPython magic or shell escape.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,Aather-nabi/Explainable-Machine-Learning-for-Higgs-Boson-Classification,0705cdc068a5e8b5e2d44dfee12e194e61f4e204,notebooks/01_data_exploration.ipynb,30,16,plt.savefig(,true-positive-unparsable,"Source neither CPython nor IPython accepts. Every .py finding was handed to CPython compile(), which rejected it; every notebook cell was checked to be sure the reported line is not an IPython magic or shell escape.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,Aatiqa04/Quantum-Computing,821968ab536b10b3d81c043cc9da816f9b9f8995,quantum.ipynb,17,1,pip list,false-positive,"IPython automagic is on by default and rewrites this cell: shell.transform_cell(source) returns get_ipython().run_line_magic('pip', ...), which compiles and runs. Verified on IPython 9.16.1, where the bare cell executes with success=True. The earlier label read the cell as accepted by neither CPython nor IPython; only the first half of that is true. The same text in a .py file has no IPython to rewrite it and is still reported.","claude-opus-5, pending confirmation by the maintainer",2026-08-19
QXL000,Abdussamed-1/QGSS-26-labSolution,5b7ff588db22618d3b24bbc0bbaf83a5672d3353,lab00/lab0.ipynb,24,1,pip install seaborn,false-positive,"IPython automagic is on by default and rewrites this cell: shell.transform_cell(source) returns get_ipython().run_line_magic('pip', ...), which compiles and runs. Verified on IPython 9.16.1, where the bare cell executes with success=True. The earlier label read the cell as accepted by neither CPython nor IPython; only the first half of that is true. The same text in a .py file has no IPython to rewrite it and is still reported.","claude-opus-5, pending confirmation by the maintainer",2026-08-19
QXL000,Abdussamed-1/QGSS-26-labSolution,5b7ff588db22618d3b24bbc0bbaf83a5672d3353,lab02/lab2.ipynb,59,7,"token = ""<YOUR_IBM_CLOUD_API_KEY>""  # looks like ""abc123def456ghi789jkl012mno345pqr678stu901vwx234yz567890ab12cd34""",true-positive-unparsable,"Source neither CPython nor IPython accepts. Every .py finding was handed to CPython compile(), which rejected it; every notebook cell was checked to be sure the reported line is not an IPython magic or shell escape.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,Aditya-Garimella13/vanguard,f99cbaf16541a3302e12ee147496456d98310e0a,notebooks/03_qaoa_vqe_quantum_optimization.ipynb,3,28,!./cloudflared tunnel --url http://127.0.0.1:8501,false-positive,"IPython shell escape, not Python. The magic detector required a letter after the `!`, so `! cmd`, `!{sys.executable} ...` and `!./cmd` were left in the cell and it failed to parse. Fixed on 2026-08-09; qxlint no longer reports this line.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,AdrianLipa90/CIEL-Omega-General-Quantum-Consciousness,5812b547a6308d79ef6b42606b9bda28f1879274,ext/ext21.py,,481,"report.append(f""",true-positive-unparsable,"Source neither CPython nor IPython accepts. Every .py finding was handed to CPython compile(), which rejected it; every notebook cell was checked to be sure the reported line is not an IPython magic or shell escape.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,AdrianLipa90/CIEL-Omega-General-Quantum-Consciousness,5812b547a6308d79ef6b42606b9bda28f1879274,ext/ext6.py,,79,def __post_init.me__(self):,true-positive-unparsable,"Source neither CPython nor IPython accepts. Every .py finding was handed to CPython compile(), which rejected it; every notebook cell was checked to be sure the reported line is not an IPython magic or shell escape.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,AmirshayanHamidin/qrc-shot-wall,407b9001f59a7867e85ea2338ed169bc5d5422b7,audits/audit_mnist_pca_qda_run.py,,16,Xtr/=255.0; Xte.=255.0,true-positive-unparsable,"Source neither CPython nor IPython accepts. Every .py finding was handed to CPython compile(), which rejected it; every notebook cell was checked to be sure the reported line is not an IPython magic or shell escape.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,Arbitrage0/quantum-noodling,7174c1b5c215e69ca7471c804b343a95c51fa871,QuantumDice.py,,24,"qubits = int(math.ceil(math.log(n, 2)) #get number of qubits needed",true-positive-unparsable,"Source neither CPython nor IPython accepts. Every .py finding was handed to CPython compile(), which rejected it; every notebook cell was checked to be sure the reported line is not an IPython magic or shell escape.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,Cyptopimpinainteazy/bumbott,1a379b3e449476f9d790a19f94d4c80a22d245f6,notebook.ipynb,1,4,```,true-positive-unparsable,"Source the interpreter cannot parse. Every .py finding was cross checked by handing the same file to CPython compile(), which rejected all of them.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,LucaGandolfi77/Qiskit-QuantumComputing,9a8d3934f592f7b26a97f7d11f47778e9b43ad79,1603/admm_solver.ipynb,1,1,"""""""",true-positive-unparsable,Cell source contains a NUL byte. compile() refuses it and so would IPython.,"claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,LucaGandolfi77/Qiskit-QuantumComputing,9a8d3934f592f7b26a97f7d11f47778e9b43ad79,QISKIT/Qiskit85.ipynb,11,1,"vj0i0=0.43, vj1i0=0.28, vj2i0=0.29",true-positive-unparsable,"Cell contains pasted program output, not Python.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,LucaGandolfi77/Qiskit-QuantumComputing,9a8d3934f592f7b26a97f7d11f47778e9b43ad79,backup_QISKIT/Qiskit85.ipynb,11,1,"vj0i0=0.43, vj1i0=0.28, vj2i0=0.29",true-positive-unparsable,Duplicate of the above in a backup directory.,"claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,QMCPACK/stalk,72a9c90d5e0162ee17840545f767f858e73eebc0,examples/nexus/pyscf_pes.py,,4,$pyscfimport,true-positive-unparsable,"Source the interpreter cannot parse. Every .py finding was cross checked by handing the same file to CPython compile(), which rejected all of them.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,QMCPACK/stalk,72a9c90d5e0162ee17840545f767f858e73eebc0,examples/nexus/pyscf_relax.py,,3,$pyscfimport,true-positive-unparsable,"Source the interpreter cannot parse. Every .py finding was cross checked by handing the same file to CPython compile(), which rejected all of them.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,Qiskit/qiskit-serverless,159b87303c15640b6f422d7fc11d87d82e61c071,docs/function_features/basic/02_arguments_and_results.ipynb,9,2,"print(f""Logs: \n {job.logs()})",true-positive-unparsable,"Source the interpreter cannot parse. Every .py finding was cross checked by handing the same file to CPython compile(), which rejected all of them.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,Qiskit/qiskit-serverless,159b87303c15640b6f422d7fc11d87d82e61c071,gateway/templates/fleet_custom_job_wrapper.py,,1,{% autoescape off %}# Fleet wrapper for custom (user) jobs — Python implementation.,true-positive-unparsable,"Source the interpreter cannot parse. Every .py finding was cross checked by handing the same file to CPython compile(), which rejected all of them.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,Qiskit/qiskit-serverless,159b87303c15640b6f422d7fc11d87d82e61c071,gateway/templates/fleet_provider_job_wrapper.py,,1,{% autoescape off %}# Fleet wrapper for provider jobs — Python implementation.,true-positive-unparsable,"Source the interpreter cannot parse. Every .py finding was cross checked by handing the same file to CPython compile(), which rejected all of them.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,Qwenty228/Solving_QUBOs,f92fba63844651e191d6318e49a807241c478afc,TSP/local.ipynb,7,19,tol=100,true-positive-unparsable,minimize(...) call with a missing comma between tol=100 and bounds=bounds. Genuinely invalid Python.,"claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,SRI-International/QC-App-Oriented-Benchmarks,feb22a900d9d94d40e81bc1d25e149bd8f3cbc18,qedcbench/quantum-volume-qiskit.ipynb,4,40,ex.throttle_execution(do_nothing_on_groups)ex.finalize_execution(do_nothing_on_groups),true-positive-unparsable,"Source the interpreter cannot parse. Every .py finding was cross checked by handing the same file to CPython compile(), which rejected all of them.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,aash-gates/IBM-Quantum-Challenge-Fall-2021,951b001c7bf73c6dfa28ad8d1c4f12715260a00f,guide/submission_template.py,,56,def subroutine_add_const():,true-positive-unparsable,"Source the interpreter cannot parse. Every .py finding was cross checked by handing the same file to CPython compile(), which rejected all of them.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,aghasyedi/aqca,5461e75b02e3214ebe6c881d81e073fd46163b7a,assets/notebooks/AQCA_Full_Catalogue.ipynb,11,14,optimal_iterations = int(np.round((np.pi / 4) * np.sqrt(2n))),true-positive-unparsable,"Source neither CPython nor IPython accepts. Every .py finding was handed to CPython compile(), which rejected it; every notebook cell was checked to be sure the reported line is not an IPython magic or shell escape.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,aghasyedi/aqca,5461e75b02e3214ebe6c881d81e073fd46163b7a,assets/notebooks/AQCA_Full_Catalogue.ipynb,10,31,angle = 2 * np.pi * actual_theta * (2  j),true-positive-unparsable,"Source neither CPython nor IPython accepts. Every .py finding was handed to CPython compile(), which rejected it; every notebook cell was checked to be sure the reported line is not an IPython magic or shell escape.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,aghasyedi/aqca,5461e75b02e3214ebe6c881d81e073fd46163b7a,assets/notebooks/AQCA_Full_Catalogue.ipynb,14,63,"qc.append(c_amod15(a, 2  q), [qr_count[q]] + list(qr_target))",true-positive-unparsable,"Source neither CPython nor IPython accepts. Every .py finding was handed to CPython compile(), which rejected it; every notebook cell was checked to be sure the reported line is not an IPython magic or shell escape.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,aghasyedi/aqca,5461e75b02e3214ebe6c881d81e073fd46163b7a,assets/notebooks/AQCA_Full_Catalogue.ipynb,12,109,"print(f""The {2n}x{2n} unitary matrix describing the full circuit:"")",true-positive-unparsable,"Source neither CPython nor IPython accepts. Every .py finding was handed to CPython compile(), which rejected it; every notebook cell was checked to be sure the reported line is not an IPython magic or shell escape.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,airbus/discrete-optimization,60e8f4b6c49a5c67adf5ee2589e3c9478ce11706,notebooks/Knapsack tutorial.ipynb,1,6,!{sys.executable} -m pip install -U pip,false-positive,"IPython shell escape, not Python. The magic detector required a letter after the `!`, so `! cmd`, `!{sys.executable} ...` and `!./cmd` were left in the cell and it failed to parse. Fixed on 2026-08-09; qxlint no longer reports this line.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,airbus/discrete-optimization,60e8f4b6c49a5c67adf5ee2589e3c9478ce11706,notebooks/RCPSP tutorials/RCPSP-1 Introduction.ipynb,1,6,!{sys.executable} -m pip install -U pip,false-positive,"IPython shell escape, not Python. The magic detector required a letter after the `!`, so `! cmd`, `!{sys.executable} ...` and `!./cmd` were left in the cell and it failed to parse. Fixed on 2026-08-09; qxlint no longer reports this line.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,airbus/discrete-optimization,60e8f4b6c49a5c67adf5ee2589e3c9478ce11706,notebooks/RCPSP tutorials/RCPSP-2 Heuristics Solving.ipynb,1,6,!{sys.executable} -m pip install -U pip,false-positive,"IPython shell escape, not Python. The magic detector required a letter after the `!`, so `! cmd`, `!{sys.executable} ...` and `!./cmd` were left in the cell and it failed to parse. Fixed on 2026-08-09; qxlint no longer reports this line.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,airbus/discrete-optimization,60e8f4b6c49a5c67adf5ee2589e3c9478ce11706,notebooks/RCPSP tutorials/RCPSP-3 Local search.ipynb,1,6,!{sys.executable} -m pip install -U pip,false-positive,"IPython shell escape, not Python. The magic detector required a letter after the `!`, so `! cmd`, `!{sys.executable} ...` and `!./cmd` were left in the cell and it failed to parse. Fixed on 2026-08-09; qxlint no longer reports this line.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,airbus/discrete-optimization,60e8f4b6c49a5c67adf5ee2589e3c9478ce11706,notebooks/RCPSP tutorials/RCPSP-4 Linear programming.ipynb,1,6,!{sys.executable} -m pip install -U pip,false-positive,"IPython shell escape, not Python. The magic detector required a letter after the `!`, so `! cmd`, `!{sys.executable} ...` and `!./cmd` were left in the cell and it failed to parse. Fixed on 2026-08-09; qxlint no longer reports this line.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,airbus/discrete-optimization,60e8f4b6c49a5c67adf5ee2589e3c9478ce11706,notebooks/RCPSP tutorials/RCPSP-5 Constraint Programming.ipynb,1,6,!{sys.executable} -m pip install -U pip,false-positive,"IPython shell escape, not Python. The magic detector required a letter after the `!`, so `! cmd`, `!{sys.executable} ...` and `!./cmd` were left in the cell and it failed to parse. Fixed on 2026-08-09; qxlint no longer reports this line.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,airbus/discrete-optimization,60e8f4b6c49a5c67adf5ee2589e3c9478ce11706,notebooks/RCPSP tutorials/RCPSP-6 Large Neighbourhood Search .ipynb,1,6,!{sys.executable} -m pip install -U pip,false-positive,"IPython shell escape, not Python. The magic detector required a letter after the `!`, so `! cmd`, `!{sys.executable} ...` and `!./cmd` were left in the cell and it failed to parse. Fixed on 2026-08-09; qxlint no longer reports this line.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,airbus/discrete-optimization,60e8f4b6c49a5c67adf5ee2589e3c9478ce11706,notebooks/WORKFORCE tutorials/1-Introduction to workforce allocation.ipynb,1,6,!{sys.executable} -m pip install -U pip,false-positive,"IPython shell escape, not Python. The magic detector required a letter after the `!`, so `! cmd`, `!{sys.executable} ...` and `!./cmd` were left in the cell and it failed to parse. Fixed on 2026-08-09; qxlint no longer reports this line.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,airbus/discrete-optimization,60e8f4b6c49a5c67adf5ee2589e3c9478ce11706,notebooks/WORKFORCE tutorials/2-Solving workforce allocation with CP.ipynb,1,6,!{sys.executable} -m pip install -U pip,false-positive,"IPython shell escape, not Python. The magic detector required a letter after the `!`, so `! cmd`, `!{sys.executable} ...` and `!./cmd` were left in the cell and it failed to parse. Fixed on 2026-08-09; qxlint no longer reports this line.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,airbus/discrete-optimization,60e8f4b6c49a5c67adf5ee2589e3c9478ce11706,notebooks/WORKFORCE tutorials/3-Create disruption scenarios.ipynb,1,6,!{sys.executable} -m pip install -U pip,false-positive,"IPython shell escape, not Python. The magic detector required a letter after the `!`, so `! cmd`, `!{sys.executable} ...` and `!./cmd` were left in the cell and it failed to parse. Fixed on 2026-08-09; qxlint no longer reports this line.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,airbus/discrete-optimization,60e8f4b6c49a5c67adf5ee2589e3c9478ce11706,notebooks/WORKFORCE tutorials/4-Explaining workforce alloc.ipynb,1,6,!{sys.executable} -m pip install -U pip,false-positive,"IPython shell escape, not Python. The magic detector required a letter after the `!`, so `! cmd`, `!{sys.executable} ...` and `!./cmd` were left in the cell and it failed to parse. Fixed on 2026-08-09; qxlint no longer reports this line.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,airbus/discrete-optimization,60e8f4b6c49a5c67adf5ee2589e3c9478ce11706,notebooks/WORKFORCE tutorials/5-Repairing workforce alloc.ipynb,1,6,!{sys.executable} -m pip install -U pip,false-positive,"IPython shell escape, not Python. The magic detector required a letter after the `!`, so `! cmd`, `!{sys.executable} ...` and `!./cmd` were left in the cell and it failed to parse. Fixed on 2026-08-09; qxlint no longer reports this line.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,airbus/discrete-optimization,60e8f4b6c49a5c67adf5ee2589e3c9478ce11706,notebooks/WORKFORCE tutorials/6-Intelligent rescheduling for disruption repair.ipynb,1,6,!{sys.executable} -m pip install -U pip,false-positive,"IPython shell escape, not Python. The magic detector required a letter after the `!`, so `! cmd`, `!{sys.executable} ...` and `!./cmd` were left in the cell and it failed to parse. Fixed on 2026-08-09; qxlint no longer reports this line.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,airbus/discrete-optimization,60e8f4b6c49a5c67adf5ee2589e3c9478ce11706,notebooks/z_Advanced/callbacks.ipynb,1,6,!{sys.executable} -m pip install -U pip,false-positive,"IPython shell escape, not Python. The magic detector required a letter after the `!`, so `! cmd`, `!{sys.executable} ...` and `!./cmd` were left in the cell and it failed to parse. Fixed on 2026-08-09; qxlint no longer reports this line.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,airbus/discrete-optimization,60e8f4b6c49a5c67adf5ee2589e3c9478ce11706,notebooks/z_Advanced/explain_unsatisfiability.ipynb,1,6,!{sys.executable} -m pip install -U pip,false-positive,"IPython shell escape, not Python. The magic detector required a letter after the `!`, so `! cmd`, `!{sys.executable} ...` and `!./cmd` were left in the cell and it failed to parse. Fixed on 2026-08-09; qxlint no longer reports this line.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,airbus/discrete-optimization,60e8f4b6c49a5c67adf5ee2589e3c9478ce11706,notebooks/z_Advanced/lexico.ipynb,1,6,!{sys.executable} -m pip install -U pip,false-positive,"IPython shell escape, not Python. The magic detector required a letter after the `!`, so `! cmd`, `!{sys.executable} ...` and `!./cmd` were left in the cell and it failed to parse. Fixed on 2026-08-09; qxlint no longer reports this line.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,airbus/discrete-optimization,60e8f4b6c49a5c67adf5ee2589e3c9478ce11706,notebooks/z_Advanced/optuna.ipynb,1,7,!{sys.executable} -m pip install -U pip,false-positive,"IPython shell escape, not Python. The magic detector required a letter after the `!`, so `! cmd`, `!{sys.executable} ...` and `!./cmd` were left in the cell and it failed to parse. Fixed on 2026-08-09; qxlint no longer reports this line.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,airbus/discrete-optimization,60e8f4b6c49a5c67adf5ee2589e3c9478ce11706,notebooks/z_Advanced/sequential_metasolver.ipynb,1,7,!{sys.executable} -m pip install -U pip,false-positive,"IPython shell escape, not Python. The magic detector required a letter after the `!`, so `! cmd`, `!{sys.executable} ...` and `!./cmd` were left in the cell and it failed to parse. Fixed on 2026-08-09; qxlint no longer reports this line.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
